Date,Open,High,Low,Close,Volume
7/13/15,31.2575,31.440001,31.08,31.415001,165762000
7/14/15,31.51,31.592501,31.26,31.4025,127072400
7/15/15,31.43,31.7875,31.395,31.705,134596800
7/16/15,31.934999,32.142502,31.8375,32.127499,144889600
7/17/15,32.27,32.404999,32.077499,32.404999,184658800
7/20/15,32.7425,33.2425,32.674999,33.017502,235600800
7/21/15,33.212502,33.23,32.580002,32.6875,307025600
7/22/15,30.497499,31.375,30.497499,31.305,461802400
7/23/15,31.549999,31.772499,31.264999,31.290001,203998000
7/24/15,31.33,31.434999,30.975,31.125,168649200
7/27/15,30.772499,30.9025,30.530001,30.692499,177822000
7/28/15,30.844999,30.977501,30.637501,30.844999,134472400
7/29/15,30.7875,30.875,30.567499,30.747499,148046800
7/30/15,30.58,30.6425,30.4275,30.592501,134513200
7/31/15,30.65,30.66,30.227501,30.325001,171540000
8/3/15,30.375,30.6425,29.379999,29.610001,279904000
8/4/15,29.355,29.424999,28.3125,28.66,496554400
8/5/15,28.237499,29.360001,28.025,28.85,397250400
8/6/15,28.9925,29.125,28.530001,28.782499,211612000
8/7/15,28.645,29.0625,28.625,28.879999,154681600
8/10/15,29.1325,29.997499,29.1325,29.93,219806400
8/11/15,29.452499,29.545,28.3325,28.372499,388331200
8/12/15,28.1325,28.855,27.407499,28.809999,404870000
8/13/15,29.01,29.1,28.635,28.7875,194143200
8/14/15,28.58,29.077499,28.502501,28.99,171718000
8/17/15,29.01,29.4125,28.875,29.290001,163538800
8/18/15,29.1075,29.360001,29.002501,29.125,138242800
8/19/15,29.025,29.129999,28.67,28.752501,193146000
8/20/15,28.52,28.5875,27.907499,28.1625,274006400
8/21/15,27.6075,27.975,26.4125,26.440001,513102000
8/24/15,23.717501,27.200001,23,25.780001,648825200
8/25/15,27.7775,27.7775,25.875,25.934999,414406400
8/26/15,26.772499,27.4725,26.262501,27.422501,387098400
8/27/15,28.057501,28.309999,27.504999,28.23,338464400
8/28/15,28.0425,28.327499,27.885,28.3225,212657600
8/31/15,28.0075,28.6325,28,28.190001,224917200
9/1/15,27.5375,27.969999,26.84,26.93,307383600
9/2/15,27.557501,28.084999,27.282499,28.084999,247555200
9/3/15,28.122499,28.195,27.51,27.592501,212935600
9/4/15,27.2425,27.612499,27.127501,27.317499,199985200
9/8/15,27.9375,28.139999,27.58,28.077499,219374400
9/9/15,28.440001,28.504999,27.442499,27.5375,340043200
9/10/15,27.567499,28.32,27.475,28.1425,251571200
9/11/15,27.9475,28.5525,27.940001,28.5525,199662000
9/14/15,29.145,29.2225,28.715,28.827499,233453600
9/15/15,28.9825,29.1325,28.605,29.07,173364800
9/16/15,29.0625,29.135,28.860001,29.102501,148694000
9/17/15,28.915001,29.122499,28.43,28.48,256450400
9/18/15,28.0525,28.575001,27.967501,28.362499,297141200
9/21/15,28.4175,28.842501,28.415001,28.8025,200888000
9/22/15,28.344999,28.545,28.129999,28.35,201384800
9/23/15,28.407499,28.68,28.325001,28.58,143026800
9/24/15,28.3125,28.875,28.092501,28.75,200878000
9/25/15,29.110001,29.172501,28.504999,28.6775,224607600
9/28/15,28.4625,28.6425,28.110001,28.110001,208436000
9/29/15,28.2075,28.377501,26.965,27.264999,293461600
9/30/15,27.5425,27.885,27.182501,27.575001,265892000
10/1/15,27.2675,27.405001,26.827499,27.395,255716400
10/2/15,27.002501,27.752501,26.887501,27.594999,232079200
10/5/15,27.469999,27.842501,27.2675,27.695,208258800
10/6/15,27.657499,27.934999,27.442499,27.827499,192787200
10/7/15,27.934999,27.942499,27.352501,27.695,187062400
10/8/15,27.547501,27.547501,27.0525,27.375,247918400
10/9/15,27.5,28.07,27.372499,28.030001,211064400
10/12/15,28.182501,28.1875,27.860001,27.9,121868800
10/13/15,27.705,28.112499,27.67,27.9475,132197200
10/14/15,27.8225,27.879999,27.389999,27.5525,177849600
10/15/15,27.7325,28.025,27.622499,27.965,150694000
10/16/15,27.945,28,27.6325,27.76,156930400
10/19/15,27.700001,27.9375,27.5275,27.932501,119036800
10/20/15,27.834999,28.5425,27.705,28.442499,195871200
10/21/15,28.5,28.895,28.424999,28.440001,167180800
10/22/15,28.5825,28.875,28.525,28.875,166616400
10/23/15,29.174999,29.807501,29.0825,29.77,237467600
10/26/15,29.52,29.532499,28.73,28.82,265335200
10/27/15,28.85,29.135,28.497499,28.637501,279537600
10/28/15,29.2325,29.825001,29.014999,29.817499,342205600
10/29/15,29.674999,30.172501,29.567499,30.1325,204909200
10/30/15,30.247499,30.305,29.862499,29.875,197461200
11/2/15,30.200001,30.34,29.9025,30.295,128813200
11/3/15,30.1975,30.872499,30.174999,30.6425,182076000
11/4/15,30.782499,30.955,30.405001,30.5,179544400
11/5/15,30.4625,30.672501,30.045,30.23,158210800
11/6/15,30.2775,30.452499,30.155001,30.264999,132169200
11/9/15,30.24,30.452499,30.012501,30.1425,135485600
11/10/15,29.225,29.5175,29.014999,29.192499,236511600
11/11/15,29.092501,29.355,28.8025,29.0275,180872000
11/12/15,29.065001,29.205,28.9125,28.93,130102400
11/13/15,28.799999,28.8925,28.067499,28.084999,183249600
11/16/15,27.844999,28.559999,27.75,28.545,152426800
11/17/15,28.73,28.762501,28.33,28.422501,110467600
11/18/15,28.940001,29.372499,28.875,29.3225,186698800
11/19/15,29.41,29.9375,29.190001,29.695,173183200
11/20/15,29.799999,29.98,29.7125,29.825001,137148400
11/23/15,29.817499,29.932501,29.334999,29.4375,129930000
11/24/15,29.3325,29.8375,29.280001,29.719999,171212800
11/25/15,29.8025,29.807501,29.48,29.5075,85553200
11/27/15,29.5725,29.602501,29.4,29.452499,52185600
11/30/15,29.497499,29.852501,29.4375,29.575001,156721200
12/1/15,29.6875,29.702499,29.215,29.334999,139409600
12/2/15,29.334999,29.5275,29.02,29.07,133546400
12/3/15,29.137501,29.1975,28.555,28.799999,166278000
12/4/15,28.8225,29.8125,28.7775,29.7575,231108000
12/7/15,29.745001,29.965,29.452499,29.57,128336800
12/8/15,29.379999,29.65,29.215,29.557501,137238000
12/9/15,29.41,29.422501,28.77,28.905001,185445600
12/10/15,29.01,29.235001,28.877501,29.0425,116850800
12/11/15,28.797501,28.8475,28.2125,28.295,187544800
12/14/15,28.045,28.17,27.4475,28.120001,257274800
12/15/15,27.985001,28.200001,27.5875,27.622499,213292400
12/16/15,27.7675,27.997499,27.200001,27.834999,224954000
12/17/15,28.004999,28.0625,27.245001,27.245001,179091200
12/18/15,27.227501,27.379999,26.452499,26.5075,385813200
12/21/15,26.82,26.842501,26.3925,26.8325,190362400
12/22/15,26.85,26.93,26.612499,26.807501,131157600
12/23/15,26.817499,27.2125,26.799999,27.1525,130629600
12/24/15,27.25,27.25,26.987499,27.0075,54281600
12/28/15,26.897499,26.922501,26.545,26.705,106816800
12/29/15,26.74,27.3575,26.715,27.184999,123724800
12/30/15,27.145,27.174999,26.795,26.83,100855200
12/31/15,26.752501,26.7575,26.205,26.315001,163649200
1/4/16,25.6525,26.342501,25.5,26.3375,270597600
1/5/16,26.4375,26.4625,25.602501,25.6775,223164000
1/6/16,25.139999,25.592501,24.967501,25.174999,273829600
1/7/16,24.67,25.032499,24.1075,24.112499,324377600
1/8/16,24.637501,24.7775,24.190001,24.24,283192000
1/11/16,24.7425,24.764999,24.334999,24.6325,198957600
1/12/16,25.137501,25.172501,24.709999,24.99,196616800
1/13/16,25.08,25.297501,24.325001,24.3475,249758400
1/14/16,24.49,25.120001,23.934999,24.879999,252680400
1/15/16,24.049999,24.4275,23.84,24.282499,319335600
1/19/16,24.602501,24.6625,23.875,24.165001,212350800
1/20/16,23.775,24.547501,23.355,24.1975,289337600
1/21/16,24.264999,24.469999,23.735001,24.075001,208646000
1/22/16,24.657499,25.365,24.592501,25.355,263202000
1/25/16,25.379999,25.3825,24.8025,24.860001,207178000
1/26/16,24.9825,25.219999,24.5175,24.997499,300308000
1/27/16,24.01,24.157499,23.334999,23.355,533478800
1/28/16,23.4475,23.629999,23.0975,23.522499,222715200
1/29/16,23.6975,24.334999,23.5875,24.334999,257666000
2/1/16,24.1175,24.1775,23.85,24.1075,163774000
2/2/16,23.855,24.01,23.57,23.620001,149428800
2/3/16,23.75,24.209999,23.52,24.0875,183857200
2/4/16,23.965,24.3325,23.797501,24.15,185886800
2/5/16,24.129999,24.23,23.422501,23.504999,185672400
2/8/16,23.282499,23.924999,23.26,23.752501,216085600
2/9/16,23.5725,23.985001,23.4825,23.747499,177324800
2/10/16,23.98,24.0875,23.525,23.567499,169374400
2/11/16,23.4475,23.68,23.147499,23.424999,200298800
2/12/16,23.547501,23.625,23.252501,23.497499,161405600
2/16/16,23.754999,24.2125,23.6525,24.16,196231600
2/17/16,24.1675,24.5525,24.0375,24.530001,179452800
2/18/16,24.709999,24.7225,24.022499,24.065001,156084000
2/19/16,24,24.190001,23.950001,24.01,141496800
2/22/16,24.077499,24.225,23.98,24.219999,137123200
2/23/16,24.1,24.125,23.637501,23.672501,127770400
2/24/16,23.495001,24.094999,23.33,24.025,145022800
2/25/16,24.012501,24.190001,23.8125,24.190001,110330800
2/26/16,24.299999,24.504999,24.145,24.227501,115964400
2/29/16,24.215,24.557501,24.1625,24.172501,140865200
3/1/16,24.4125,25.192499,24.355,25.1325,201628400
3/2/16,25.127501,25.2225,24.91,25.1875,132678400
3/3/16,25.145,25.4275,25.112499,25.375,147822800
3/4/16,25.592501,25.9375,25.342501,25.752501,184220400
3/7/16,25.5975,25.7075,25.24,25.467501,143315600
3/8/16,25.195,25.440001,25.1,25.2575,126247600
3/9/16,25.327499,25.395,25.067499,25.280001,108806800
3/10/16,25.352501,25.559999,25.0375,25.2925,134054400
3/11/16,25.559999,25.57,25.375,25.565001,109632800
3/14/16,25.477501,25.727501,25.445,25.629999,100304400
